factor,producer,pub,group,direction,missing_rate_overall,missing_rate_listed,ic_mean_10d,ic_mean_20d,ic_mean_2d,ic_mean_5d,ic_std_10d,ic_std_20d,ic_std_2d,ic_std_5d,ic_t_10d,ic_t_20d,ic_t_2d,ic_t_5d,icir_10d,icir_20d,icir_2d,icir_5d,n_days_10d,n_days_20d,n_days_2d,n_days_5d,pct_positive_10d,pct_positive_20d,pct_positive_2d,pct_positive_5d,monotonicity,ann_return_G1,ann_return_G5,ann_return_LongShort,ann_vol_LongShort,sharpe_LongShort,mean_turnover_LongShort,time_window_start,time_window_end,eval_timestamp
BETA10,alpha158,,,-1,0.329498,0.098117,0.041153,0.046865,0.038492,0.039810,0.135517,0.133847,0.142401,0.137770,14.969524,17.260064,13.324801,14.244282,0.303672,0.350138,0.270307,0.288960,2430.000000,2430.000000,2430.000000,2430.000000,0.620988,0.632099,0.603292,0.614403,0.615475,-0.140072,0.049041,0.214816,0.129258,1.661914,1.283089,2016-01-01,2025-12-31,20260525_220745
BETA20,alpha158,,,-1,0.329498,0.098117,0.057439,0.062445,0.040016,0.049832,0.139245,0.140405,0.149287,0.143974,20.334220,21.924035,13.213535,17.061945,0.412500,0.444751,0.268050,0.346119,2430.000000,2430.000000,2430.000000,2430.000000,0.655967,0.669547,0.609877,0.637037,0.736671,-0.138354,0.073528,0.238462,0.134800,1.769006,0.781134,2016-01-01,2025-12-31,20260525_220745
BETA30,alpha158,,,-1,0.329498,0.098117,0.060791,0.063401,0.040305,0.052805,0.147586,0.146243,0.152315,0.150223,20.304951,21.371012,13.044085,17.327818,0.411907,0.433533,0.264613,0.351512,2430.000000,2430.000000,2430.000000,2430.000000,0.650206,0.660494,0.603292,0.623868,0.822394,-0.138647,0.093743,0.260574,0.137065,1.901098,0.564173,2016-01-01,2025-12-31,20260525_220745
BETA5,alpha158,,,-1,0.329498,0.098117,0.031020,0.032520,0.038349,0.034982,0.128452,0.128712,0.141274,0.132205,11.904508,12.454582,13.381130,13.043488,0.241495,0.252654,0.271450,0.264600,2430.000000,2430.000000,2430.000000,2430.000000,0.600412,0.593004,0.625926,0.610288,0.729705,-0.158295,0.075811,0.274099,0.121446,2.256959,1.567121,2016-01-01,2025-12-31,20260525_220745
BETA60,alpha158,,,-1,0.329498,0.098117,0.047248,0.050839,0.028345,0.039576,0.155893,0.152535,0.158909,0.157842,14.940297,16.429739,8.792736,12.359971,0.303079,0.333294,0.178370,0.250735,2430.000000,2430.000000,2430.000000,2430.000000,0.599177,0.622634,0.559259,0.582716,0.920343,-0.081141,0.097447,0.184402,0.140784,1.309819,0.310766,2016-01-01,2025-12-31,20260525_220745
CNTD10,alpha158,,,-1,0.329498,0.098117,0.013859,0.019459,0.016572,0.014978,0.101128,0.102045,0.100304,0.098772,6.755773,9.400058,8.144345,7.475015,0.137048,0.190690,0.165216,0.151638,2430.000000,2430.000000,2430.000000,2430.000000,0.550206,0.562963,0.565021,0.544444,0.677868,-0.027967,0.045209,0.072667,0.092444,0.786072,1.142058,2016-01-01,2025-12-31,20260525_220745
CNTD20,alpha158,,,-1,0.329498,0.098117,0.020574,0.025212,0.017470,0.018826,0.102719,0.104350,0.104442,0.102531,9.873353,11.909970,8.245556,9.051258,0.200291,0.241606,0.167270,0.183614,2430.000000,2430.000000,2430.000000,2430.000000,0.563374,0.575720,0.565432,0.569959,0.864704,-0.026123,0.063026,0.087715,0.099111,0.885021,0.822947,2016-01-01,2025-12-31,20260525_220745
CNTD30,alpha158,,,-1,0.329498,0.098117,0.020860,0.026357,0.015151,0.018281,0.105756,0.108079,0.105888,0.103859,9.723183,12.021462,7.053270,8.676830,0.197245,0.243868,0.143083,0.176018,2430.000000,2430.000000,2430.000000,2430.000000,0.562140,0.562551,0.537449,0.551440,0.808537,-0.032649,0.061161,0.092126,0.099221,0.928493,0.673795,2016-01-01,2025-12-31,20260525_220745
CNTD5,alpha158,,,-1,0.329498,0.098117,0.012609,0.015210,0.020144,0.015343,0.097817,0.099198,0.103001,0.100563,6.354193,7.558210,9.640836,7.521125,0.128901,0.153326,0.195574,0.152574,2430.000000,2430.000000,2430.000000,2430.000000,0.536626,0.551440,0.582305,0.554321,0.840288,-0.036884,0.056895,0.095483,0.090022,1.060665,1.563062,2016-01-01,2025-12-31,20260525_220745
CNTD60,alpha158,,,-1,0.329498,0.098117,0.016764,0.020009,0.009412,0.013388,0.106684,0.108601,0.106814,0.106276,7.745945,9.082173,4.343462,6.209840,0.157134,0.184241,0.088112,0.125973,2430.000000,2430.000000,2430.000000,2430.000000,0.549794,0.555556,0.518107,0.532099,0.824030,-0.016822,0.054026,0.066478,0.098313,0.676192,0.474324,2016-01-01,2025-12-31,20260525_220745
CNTN10,alpha158,,,1,0.329498,0.098117,0.011466,0.016362,0.015317,0.013158,0.102292,0.102413,0.101521,0.099809,5.525684,7.875688,7.437517,6.498854,0.112094,0.159766,0.150878,0.131836,2430.000000,2430.000000,2430.000000,2430.000000,0.540329,0.553909,0.557202,0.536214,0.709632,-0.032705,0.050111,0.084017,0.090902,0.924264,1.123147,2016-01-01,2025-12-31,20260525_220745
CNTN20,alpha158,,,1,0.329498,0.098117,0.017756,0.021255,0.016084,0.016757,0.103290,0.103471,0.105171,0.103366,8.474264,10.126249,7.538833,7.991535,0.171909,0.205421,0.152933,0.162116,2430.000000,2430.000000,2430.000000,2430.000000,0.565844,0.568724,0.571605,0.562551,0.851083,-0.032960,0.066013,0.100067,0.095834,1.044167,0.809161,2016-01-01,2025-12-31,20260525_220745
CNTN30,alpha158,,,1,0.329498,0.098117,0.017746,0.021422,0.013737,0.016108,0.106075,0.106742,0.105757,0.103900,8.247142,9.893094,6.403264,7.642177,0.167302,0.200692,0.129897,0.155029,2430.000000,2430.000000,2430.000000,2430.000000,0.554321,0.565021,0.548560,0.550206,0.808940,-0.034959,0.065131,0.100759,0.095499,1.055079,0.658541,2016-01-01,2025-12-31,20260525_220745
CNTN5,alpha158,,,1,0.329498,0.098117,0.010484,0.012664,0.018906,0.013730,0.098093,0.099192,0.103705,0.100873,5.268788,6.293661,8.986890,6.709611,0.106883,0.127673,0.182308,0.136111,2430.000000,2430.000000,2430.000000,2430.000000,0.530453,0.546914,0.576955,0.552675,0.812998,-0.040373,0.054534,0.097745,0.089410,1.093230,1.532051,2016-01-01,2025-12-31,20260525_220745
CNTN60,alpha158,,,1,0.329498,0.098117,0.012204,0.013451,0.007761,0.010470,0.106116,0.104872,0.105792,0.105822,5.669065,6.322772,3.616450,4.877392,0.115003,0.128264,0.073363,0.098943,2430.000000,2430.000000,2430.000000,2430.000000,0.534156,0.538683,0.518930,0.521811,0.818209,-0.017788,0.053463,0.069433,0.094539,0.734439,0.453811,2016-01-01,2025-12-31,20260525_220745
CNTP10,alpha158,,,-1,0.329498,0.098117,0.016176,0.022195,0.017322,0.016583,0.097143,0.098570,0.096351,0.095095,8.208350,11.099574,8.862030,8.596220,0.166515,0.225166,0.179775,0.174383,2430.000000,2430.000000,2430.000000,2430.000000,0.561728,0.571193,0.563374,0.556379,0.584179,-0.031395,0.033231,0.063154,0.090382,0.698745,1.120667,2016-01-01,2025-12-31,20260525_220745
CNTP20,alpha158,,,-1,0.329498,0.098117,0.022747,0.028221,0.017976,0.020152,0.098976,0.101636,0.100991,0.099101,11.328980,13.687536,8.774113,10.024166,0.229820,0.277666,0.177992,0.203350,2430.000000,2430.000000,2430.000000,2430.000000,0.561728,0.583539,0.553498,0.568724,0.717283,-0.028502,0.045575,0.070667,0.097417,0.725406,0.803376,2016-01-01,2025-12-31,20260525_220745
CNTP30,alpha158,,,-1,0.329498,0.098117,0.023257,0.029976,0.015794,0.019674,0.102144,0.105894,0.103194,0.101232,11.223831,13.954387,7.544657,9.580468,0.227687,0.283079,0.153051,0.194350,2430.000000,2430.000000,2430.000000,2430.000000,0.551440,0.561728,0.534979,0.551440,0.699597,-0.033748,0.047574,0.077458,0.098377,0.787354,0.653261,2016-01-01,2025-12-31,20260525_220745
CNTP5,alpha158,,,-1,0.329498,0.098117,0.014810,0.017713,0.020864,0.016849,0.094947,0.096527,0.099543,0.097538,7.689171,9.045900,10.332226,8.515224,0.155983,0.183505,0.209600,0.172740,2430.000000,2430.000000,2430.000000,2430.000000,0.555967,0.564609,0.590947,0.558025,0.784110,-0.040812,0.054137,0.096205,0.087668,1.097381,1.531241,2016-01-01,2025-12-31,20260525_220745
CNTP60,alpha158,,,-1,0.329498,0.098117,0.019564,0.024167,0.010311,0.015105,0.105571,0.110057,0.106200,0.105117,9.135268,10.824403,4.785940,7.083377,0.185318,0.219584,0.097088,0.143694,2430.000000,2430.000000,2430.000000,2430.000000,0.547325,0.548560,0.528395,0.535802,0.707249,-0.018268,0.041953,0.053562,0.098547,0.543515,0.450597,2016-01-01,2025-12-31,20260525_220745
CORD10,alpha158,,,-1,0.330888,0.099764,0.048196,0.054293,0.039680,0.045035,0.085518,0.085928,0.086993,0.085820,27.781770,31.146866,22.485000,25.867806,0.563582,0.631846,0.456131,0.524755,2430.000000,2430.000000,2430.000000,2430.000000,0.715638,0.745679,0.688889,0.710700,0.922925,-0.063696,0.097600,0.169102,0.075668,2.234792,1.100036,2016-01-01,2025-12-31,20260525_220745
CORD20,alpha158,,,-1,0.330977,0.099970,0.059730,0.062980,0.043795,0.053845,0.087588,0.088251,0.086837,0.086394,33.616414,35.178998,24.861451,30.722821,0.681943,0.713642,0.504340,0.623244,2430.000000,2430.000000,2430.000000,2430.000000,0.756379,0.779012,0.712346,0.738683,0.957730,-0.082413,0.117251,0.212802,0.076666,2.775689,0.730839,2016-01-01,2025-12-31,20260525_220745
CORD30,alpha158,,,-1,0.331492,0.100674,0.057103,0.062398,0.042049,0.051385,0.088675,0.088227,0.087707,0.088075,31.743750,34.863959,23.633198,28.759839,0.643954,0.707251,0.479424,0.583423,2430.000000,2430.000000,2430.000000,2430.000000,0.759671,0.763786,0.687654,0.719342,0.964685,-0.071156,0.113074,0.193500,0.077706,2.490143,0.571051,2016-01-01,2025-12-31,20260525_220745
CORD5,alpha158,,,-1,0.330368,0.098965,0.036512,0.039191,0.034885,0.035799,0.081014,0.081336,0.084006,0.081789,22.216660,23.752152,20.470996,21.576688,0.450688,0.481837,0.415275,0.437705,2430.000000,2430.000000,2430.000000,2430.000000,0.683128,0.701235,0.660494,0.666255,0.825977,-0.040024,0.063672,0.105685,0.070350,1.502288,1.559337,2016-01-01,2025-12-31,20260525_220745
CORD60,alpha158,,,-1,0.332905,0.102590,0.051670,0.057237,0.035366,0.045306,0.089210,0.090600,0.085465,0.086912,28.551313,31.142538,20.398916,25.696992,0.579193,0.631758,0.413813,0.521290,2430.000000,2430.000000,2430.000000,2430.000000,0.731687,0.745267,0.663786,0.700823,0.981493,-0.051726,0.107915,0.163014,0.074967,2.174462,0.377207,2016-01-01,2025-12-31,20260525_220745
CORR10,alpha158,,,-1,0.329648,0.098119,0.060365,0.068156,0.043927,0.054155,0.085473,0.084749,0.086691,0.086446,34.814065,39.643699,24.978408,30.881686,0.706239,0.804213,0.506713,0.626467,2430.000000,2430.000000,2430.000000,2430.000000,0.774897,0.810700,0.710288,0.749794,0.935495,-0.110069,0.123467,0.254779,0.079641,3.199099,1.257412,2016-01-01,2025-12-31,20260525_220745
CORR20,alpha158,,,-1,0.329586,0.098117,0.058492,0.065355,0.039017,0.050370,0.091872,0.095552,0.093752,0.092139,31.384625,33.716313,20.515403,26.948263,0.636669,0.683970,0.416176,0.546673,2430.000000,2430.000000,2430.000000,2430.000000,0.748971,0.761728,0.679835,0.723045,0.924926,-0.104080,0.111646,0.231480,0.084860,2.727779,0.844599,2016-01-01,2025-12-31,20260525_220745
CORR30,alpha158,,,-1,0.329575,0.098117,0.050722,0.058420,0.032979,0.042707,0.096129,0.097800,0.096307,0.096264,26.010232,29.446330,16.880625,21.869505,0.527644,0.597349,0.342441,0.443645,2430.000000,2430.000000,2430.000000,2430.000000,0.712346,0.734156,0.642798,0.670370,0.869487,-0.091038,0.086575,0.186055,0.086317,2.155480,0.636502,2016-01-01,2025-12-31,20260525_220745
CORR5,alpha158,,,-1,0.329772,0.098147,0.049226,0.053793,0.038916,0.045491,0.078083,0.077837,0.077727,0.078555,31.077284,34.067485,24.681261,28.546790,0.630434,0.691094,0.500685,0.579101,2430.000000,2430.000000,2430.000000,2430.000000,0.757202,0.779424,0.710700,0.737860,0.927306,-0.071133,0.094944,0.174029,0.068247,2.549989,1.527609,2016-01-01,2025-12-31,20260525_220745
CORR60,alpha158,,,-1,0.329555,0.098117,0.028704,0.032749,0.017971,0.024217,0.095416,0.094211,0.093866,0.093784,14.829532,17.135546,9.437753,12.729317,0.300832,0.347612,0.191454,0.258227,2430.000000,2430.000000,2430.000000,2430.000000,0.626749,0.652675,0.586008,0.611111,0.703439,-0.045144,0.047864,0.088644,0.084961,1.043348,0.368481,2016-01-01,2025-12-31,20260525_220745
HIGH0,alpha158,,,-1,0.329498,0.098117,0.029325,0.035524,0.016137,0.023184,0.125035,0.122967,0.131866,0.128702,11.561450,14.241049,6.032463,8.880061,0.234536,0.288894,0.122375,0.180141,2430.000000,2430.000000,2430.000000,2430.000000,0.637860,0.647737,0.598765,0.616872,-0.099096,-0.021079,-0.044440,-0.042408,0.111512,-0.380298,1.432523,2016-01-01,2025-12-31,20260525_220745
IMAX10,alpha158,,,-1,0.329498,0.098117,0.026631,0.031431,0.024939,0.026259,0.097330,0.096830,0.100591,0.098486,13.487785,16.000946,12.221361,13.143286,0.273613,0.324596,0.247923,0.266625,2430.000000,2430.000000,2430.000000,2430.000000,0.606584,0.617695,0.602058,0.600412,0.539140,-0.060125,0.033981,0.097460,0.083956,1.160852,1.439639,2016-01-01,2025-12-31,20260525_220745
IMAX20,alpha158,,,-1,0.329498,0.098117,0.041522,0.044588,0.032247,0.037106,0.102346,0.102898,0.104266,0.103136,19.999084,21.360588,15.245614,17.735099,0.405702,0.433321,0.309273,0.359775,2430.000000,2430.000000,2430.000000,2430.000000,0.665021,0.664198,0.622634,0.643210,0.725873,-0.093632,0.063947,0.168996,0.094301,1.792096,1.201223,2016-01-01,2025-12-31,20260525_220745
IMAX30,alpha158,,,-1,0.329498,0.098117,0.045035,0.046648,0.033912,0.041056,0.103339,0.103513,0.107472,0.104523,21.482536,22.214801,15.554968,19.362603,0.435795,0.450650,0.315548,0.392790,2430.000000,2430.000000,2430.000000,2430.000000,0.679012,0.664609,0.619342,0.645267,0.774259,-0.101943,0.078525,0.195655,0.096407,2.029474,1.033621,2016-01-01,2025-12-31,20260525_220745
IMAX5,alpha158,,,-1,0.329498,0.098117,0.019372,0.020964,0.024726,0.022085,0.094315,0.095065,0.099974,0.096917,10.124967,10.870697,12.191986,11.232978,0.205395,0.220523,0.247327,0.227872,2430.000000,2430.000000,2430.000000,2430.000000,0.574074,0.583539,0.613992,0.588066,0.636146,-0.058223,0.043182,0.104405,0.079985,1.305305,1.485175,2016-01-01,2025-12-31,20260525_220745
IMAX60,alpha158,,,-1,0.329498,0.098117,0.035632,0.038034,0.025414,0.032419,0.108688,0.105818,0.112799,0.111124,16.160881,17.718148,11.106300,14.381245,0.327840,0.359431,0.225303,0.291738,2430.000000,2430.000000,2430.000000,2430.000000,0.634979,0.642387,0.585597,0.615638,0.691527,-0.083062,0.062156,0.150913,0.101779,1.482754,0.712232,2016-01-01,2025-12-31,20260525_220745
IMIN10,alpha158,,,1,0.329498,0.098117,0.022012,0.025907,0.020550,0.022506,0.104668,0.104192,0.108756,0.104787,10.367015,12.257084,9.314431,10.587395,0.210305,0.248647,0.188953,0.214776,2430.000000,2430.000000,2430.000000,2430.000000,0.581070,0.581070,0.573251,0.574897,0.766199,-0.039320,0.048600,0.089488,0.088609,1.009918,1.370474,2016-01-01,2025-12-31,20260525_220745
IMIN20,alpha158,,,1,0.329498,0.098117,0.034054,0.037480,0.022877,0.029419,0.106994,0.107725,0.111652,0.108703,15.689605,17.150856,10.100235,13.340939,0.318280,0.347923,0.204894,0.270635,2430.000000,2430.000000,2430.000000,2430.000000,0.603704,0.620988,0.579424,0.609465,0.826203,-0.062450,0.063347,0.131526,0.091863,1.431759,1.085040,2016-01-01,2025-12-31,20260525_220745
IMIN30,alpha158,,,1,0.329498,0.098117,0.034319,0.036430,0.022853,0.030663,0.110135,0.113585,0.113047,0.109990,15.360674,15.810325,9.965278,13.742460,0.311607,0.320729,0.202156,0.278780,2430.000000,2430.000000,2430.000000,2430.000000,0.605350,0.604115,0.574897,0.609465,0.835144,-0.050943,0.058810,0.112635,0.094640,1.190143,0.905547,2016-01-01,2025-12-31,20260525_220745
IMIN5,alpha158,,,1,0.329498,0.098117,0.016395,0.016070,0.024028,0.019187,0.099330,0.100026,0.103600,0.102119,8.136292,7.919812,11.432799,9.261992,0.165053,0.160661,0.231926,0.187889,2430.000000,2430.000000,2430.000000,2430.000000,0.555556,0.551029,0.602469,0.567078,0.812935,-0.051304,0.055200,0.110024,0.084145,1.307552,1.443877,2016-01-01,2025-12-31,20260525_220745
IMIN60,alpha158,,,1,0.329498,0.098117,0.033257,0.037259,0.017834,0.026288,0.116025,0.118162,0.119012,0.119345,14.129704,15.543989,7.386942,10.858030,0.286635,0.315326,0.149852,0.220266,2430.000000,2430.000000,2430.000000,2430.000000,0.600823,0.591358,0.555144,0.568724,0.839436,-0.057248,0.061889,0.123226,0.102439,1.202922,0.608457,2016-01-01,2025-12-31,20260525_220745
IMXD10,alpha158,,,-1,0.329498,0.098117,0.027488,0.031700,0.027419,0.027921,0.110537,0.109802,0.114301,0.111019,12.258788,14.231391,11.825055,12.397454,0.248682,0.288698,0.239883,0.251495,2430.000000,2430.000000,2430.000000,2430.000000,0.602058,0.597531,0.586008,0.591358,0.681042,-0.065870,0.054106,0.125537,0.098371,1.276157,1.372876,2016-01-01,2025-12-31,20260525_220745
IMXD20,alpha158,,,-1,0.329498,0.098117,0.044624,0.047858,0.033122,0.039674,0.114222,0.114958,0.117769,0.114305,19.258325,20.521844,13.863823,17.109960,0.390675,0.416307,0.281242,0.347093,2430.000000,2430.000000,2430.000000,2430.000000,0.653909,0.658025,0.616872,0.637037,0.811710,-0.091733,0.077175,0.181275,0.106126,1.708107,1.070342,2016-01-01,2025-12-31,20260525_220745
IMXD30,alpha158,,,-1,0.329498,0.098117,0.048597,0.051188,0.034710,0.043355,0.116167,0.116212,0.120257,0.117071,20.622110,21.713227,14.228242,18.255342,0.418341,0.440475,0.288634,0.370328,2430.000000,2430.000000,2430.000000,2430.000000,0.666667,0.658848,0.622222,0.641564,0.839750,-0.096502,0.080417,0.190077,0.108081,1.758658,0.882272,2016-01-01,2025-12-31,20260525_220745
IMXD5,alpha158,,,-1,0.329498,0.098117,0.019588,0.020388,0.028188,0.023298,0.106804,0.106981,0.112155,0.109660,9.040616,9.394422,12.389447,10.473136,0.183398,0.190575,0.251333,0.212458,2430.000000,2430.000000,2430.000000,2430.000000,0.559259,0.562140,0.608642,0.580658,0.729987,-0.072332,0.051948,0.130903,0.093196,1.404607,1.576834,2016-01-01,2025-12-31,20260525_220745
IMXD60,alpha158,,,-1,0.329498,0.098117,0.041627,0.045326,0.026359,0.035824,0.121633,0.120721,0.125779,0.124426,16.870302,18.508312,10.330740,14.192867,0.342231,0.375460,0.209570,0.287917,2430.000000,2430.000000,2430.000000,2430.000000,0.635802,0.647325,0.577778,0.604115,0.778160,-0.093907,0.079610,0.184019,0.112910,1.629781,0.574680,2016-01-01,2025-12-31,20260525_220745
KLEN,alpha158,,,-1,0.329498,0.098117,0.069492,0.078462,0.055797,0.063796,0.140932,0.143059,0.141938,0.140757,24.306676,27.036238,19.378218,22.342361,0.493086,0.548458,0.393107,0.453238,2430.000000,2430.000000,2430.000000,2430.000000,0.706584,0.723457,0.674897,0.705350,0.658214,-0.132869,0.056815,0.190559,0.127067,1.499671,1.187676,2016-01-01,2025-12-31,20260525_220745
KLOW,alpha158,,,-1,0.329498,0.098117,0.033805,0.037299,0.032365,0.032524,0.083066,0.085554,0.089608,0.084821,20.061504,21.491076,17.804510,18.901646,0.406968,0.435968,0.361183,0.383439,2430.000000,2430.000000,2430.000000,2430.000000,0.690123,0.695062,0.677778,0.689712,0.501518,-0.071277,0.025531,0.094356,0.078185,1.206834,1.502306,2016-01-01,2025-12-31,20260525_220745
KLOW2,alpha158,,,1,0.329498,0.098117,0.007382,0.008864,0.002270,0.005889,0.073747,0.072702,0.078888,0.075836,4.934321,6.010179,1.418697,3.827793,0.100098,0.121923,0.028780,0.077651,2430.000000,2430.000000,2430.000000,2430.000000,0.555967,0.572840,0.520576,0.536214,0.427102,-0.001593,0.023523,0.020641,0.065759,0.313884,1.581824,2016-01-01,2025-12-31,20260525_220745
KMID,alpha158,,,-1,0.329498,0.098117,0.019209,0.019807,0.022744,0.022701,0.117853,0.115483,0.125767,0.122340,8.034456,8.454707,8.914818,9.147013,0.162987,0.171512,0.180846,0.185556,2430.000000,2430.000000,2430.000000,2430.000000,0.566667,0.574486,0.587243,0.575720,0.480045,-0.102259,0.016822,0.128917,0.112474,1.146189,1.547385,2016-01-01,2025-12-31,20260525_220745
KMID2,alpha158,,,-1,0.329498,0.098117,0.013817,0.014142,0.017756,0.016923,0.108121,0.107369,0.115214,0.111578,6.299616,6.492909,7.597142,7.476332,0.127794,0.131715,0.154116,0.151665,2430.000000,2430.000000,2430.000000,2430.000000,0.545679,0.547325,0.567078,0.557613,0.640126,-0.067754,0.042014,0.115066,0.101290,1.136009,1.597959,2016-01-01,2025-12-31,20260525_220745
KSFT,alpha158,,,-1,0.329498,0.098117,0.012127,0.011474,0.019528,0.016414,0.115101,0.112385,0.125233,0.120995,5.193704,5.032825,7.686750,6.687268,0.105360,0.102096,0.155934,0.135658,2430.000000,2430.000000,2430.000000,2430.000000,0.531687,0.542798,0.565432,0.549383,0.437481,-0.102396,0.012502,0.126782,0.105209,1.205048,1.539689,2016-01-01,2025-12-31,20260525_220745
KSFT2,alpha158,,,-1,0.329498,0.098117,0.009227,0.008528,0.015557,0.012528,0.098309,0.095859,0.105492,0.102290,4.626606,4.385416,7.269493,6.037220,0.093855,0.088963,0.147469,0.122471,2430.000000,2430.000000,2430.000000,2430.000000,0.525926,0.524280,0.558848,0.545267,0.563197,-0.081974,0.036154,0.128586,0.088278,1.456601,1.585882,2016-01-01,2025-12-31,20260525_220745
KUP,alpha158,,,-1,0.329498,0.098117,0.029356,0.034782,0.022502,0.026766,0.088937,0.089977,0.089033,0.089171,16.270863,19.055890,12.458657,14.796669,0.330071,0.386568,0.252737,0.300166,2430.000000,2430.000000,2430.000000,2430.000000,0.659259,0.671605,0.622634,0.637037,0.014007,-0.035881,-0.035387,-0.011349,0.085730,-0.132378,1.487644,2016-01-01,2025-12-31,20260525_220745
KUP2,alpha158,,,1,0.329498,0.098117,0.000389,-0.000765,0.001374,0.000617,0.073675,0.072142,0.074687,0.074640,0.260227,-0.522806,0.906860,0.407235,0.005279,-0.010606,0.018397,0.008261,2430.000000,2430.000000,2430.000000,2430.000000,0.505761,0.498765,0.505761,0.496708,0.448146,-0.048693,0.025959,0.077263,0.071021,1.087895,1.591355,2016-01-01,2025-12-31,20260525_220745
LOW0,alpha158,,,1,0.329498,0.098117,0.047004,0.052126,0.044405,0.046350,0.107182,0.109197,0.110806,0.108346,21.618133,23.531264,19.754837,21.088268,0.438546,0.477356,0.400747,0.427797,2430.000000,2430.000000,2430.000000,2430.000000,0.701235,0.720988,0.680658,0.699588,0.556165,-0.121690,0.033438,0.163679,0.100736,1.624833,1.468384,2016-01-01,2025-12-31,20260525_220745
MA10,alpha158,,,1,0.329498,0.098117,0.038994,0.042992,0.042136,0.041406,0.134447,0.131677,0.146977,0.138036,14.297338,16.094544,14.132154,14.786796,0.290036,0.326494,0.286685,0.299965,2430.000000,2430.000000,2430.000000,2430.000000,0.602058,0.621811,0.614403,0.620165,0.645602,-0.158480,0.056476,0.251304,0.130243,1.929502,1.325838,2016-01-01,2025-12-31,20260525_220745
MA20,alpha158,,,1,0.329498,0.098117,0.057213,0.062803,0.048784,0.054081,0.142127,0.139170,0.154200,0.146440,19.843770,22.245283,15.595279,18.205007,0.402551,0.451268,0.316366,0.369307,2430.000000,2430.000000,2430.000000,2430.000000,0.653498,0.673663,0.632922,0.641152,0.732424,-0.172130,0.085891,0.305671,0.140489,2.175774,0.957776,2016-01-01,2025-12-31,20260525_220745
MA30,alpha158,,,1,0.329498,0.098117,0.066337,0.070770,0.052206,0.061023,0.149275,0.147014,0.159078,0.152988,21.906388,23.729844,16.177655,19.662533,0.444393,0.481384,0.328180,0.398875,2430.000000,2430.000000,2430.000000,2430.000000,0.668313,0.671605,0.631276,0.657202,0.767198,-0.183862,0.102884,0.343313,0.145708,2.356180,0.787879,2016-01-01,2025-12-31,20260525_220745
MA5,alpha158,,,1,0.329498,0.098117,0.026859,0.027711,0.034096,0.032357,0.127456,0.127002,0.141380,0.132587,10.388103,10.755898,11.888266,12.030297,0.210733,0.218194,0.241166,0.244047,2430.000000,2430.000000,2430.000000,2430.000000,0.581481,0.588889,0.610700,0.597942,0.692950,-0.151447,0.062482,0.248410,0.124387,1.997077,1.562542,2016-01-01,2025-12-31,20260525_220745
MA60,alpha158,,,1,0.329498,0.098117,0.071003,0.075683,0.051839,0.063717,0.159915,0.157835,0.165689,0.163465,21.887220,23.637152,15.422772,19.214833,0.444005,0.479504,0.312867,0.389793,2430.000000,2430.000000,2430.000000,2430.000000,0.664198,0.675309,0.622222,0.643621,0.835626,-0.174173,0.122973,0.349194,0.152108,2.295696,0.567606,2016-01-01,2025-12-31,20260525_220745
MAX10,alpha158,,,-1,0.329498,0.098117,0.024065,0.024820,0.009141,0.016712,0.152621,0.147901,0.159961,0.154160,7.772628,8.272307,2.817101,5.343889,0.157676,0.167812,0.057148,0.108406,2430.000000,2430.000000,2430.000000,2430.000000,0.609053,0.618107,0.551440,0.594650,-0.104862,-0.010208,-0.028506,-0.042214,0.131815,-0.320255,1.197945,2016-01-01,2025-12-31,20260525_220745
MAX20,alpha158,,,-1,0.329498,0.098117,0.006865,0.008963,-0.000472,0.003274,0.158314,0.151256,0.166393,0.161418,2.137722,2.920952,-0.139839,0.999894,0.043366,0.059254,-0.002837,0.020284,2430.000000,2430.000000,2430.000000,2430.000000,0.568724,0.574486,0.523457,0.540741,-0.455516,0.024266,-0.041391,-0.086994,0.134491,-0.646839,0.921234,2016-01-01,2025-12-31,20260525_220745
MAX30,alpha158,,,1,0.329498,0.098117,0.001182,-0.002666,0.006621,0.004993,0.162355,0.156055,0.169789,0.166833,0.358912,-0.842189,1.922231,1.475432,0.007281,-0.017085,0.038994,0.029931,2430.000000,2430.000000,2430.000000,2430.000000,0.440741,0.427572,0.484774,0.473663,0.655597,-0.044195,0.049441,0.104647,0.137741,0.759738,0.780280,2016-01-01,2025-12-31,20260525_220745
MAX5,alpha158,,,-1,0.329498,0.098117,0.030799,0.034876,0.013409,0.021072,0.142698,0.139856,0.151569,0.145189,10.639370,12.292695,4.360978,7.154602,0.215830,0.249370,0.088467,0.145138,2430.000000,2430.000000,2430.000000,2430.000000,0.644444,0.647325,0.571605,0.604527,-0.183089,-0.007089,-0.038127,-0.052446,0.123146,-0.425886,1.448129,2016-01-01,2025-12-31,20260525_220745
MAX60,alpha158,,,1,0.329498,0.098117,0.010591,0.005698,0.011459,0.012946,0.170179,0.159441,0.175201,0.174859,3.067934,1.761529,3.224256,3.649659,0.062236,0.035734,0.065407,0.074037,2430.000000,2430.000000,2430.000000,2430.000000,0.484362,0.455967,0.516872,0.499588,0.895702,-0.034883,0.081948,0.126790,0.144604,0.876807,0.578001,2016-01-01,2025-12-31,20260525_220745
